158                       8 1091811                    
15800                     2 3647931                    
15801                     2 3647973                    
158019                    1 1413531                    
15806                     2 3647784                    
1582                      2 3511683                    
1583                      3 3511725                    
15869                     2 3807405                    
15872                     5 3803163                    
15878                     1 3804465                    
15896                     3 3801672                    
159                       7 1091664                    
15920                     2 3761940                    
159550                    1 1987356                    
159562                    2 1988616                    
1596                      2 3512103                    
15980                     2 3759924                    
15987                     3 3760071                    
159s                      2 3512712                    
15fn                      60 3498369                   
15g                       2 1105524                    
15k                       3 1105566                    
15pgs                     71 1860768                   
15s                       42 1104180                   
15th                      7 3492237                    
15w                       3 1100463                    
160                       17 1100064                   
1600                      5 3505698                    
16013                     1 4121691                    
